Index	sample	Genus	species	type	count	cells	per_filter	Barrel	day	timepoint
1	D1_B1_T1	Akashiwo	sanguinea	2	20	1100.00	36299.00	1	1	1
2	D2_B1_T1	Akashiwo	sanguinea	2	28	1.51E+03	0.37017	1	2	1
3	D3_B1_T1	Akashiwo	sanguinea	2	17	2050.00	16556.00	1	3	1
4	D4_B1_T1	Akashiwo	sanguinea	2	13	521.00	49951.00	1	4	1
5	D5_B1_T1	Akashiwo	sanguinea	2	11	5030.00	4374.00	1	5	1
6	D6_B1_T1	Akashiwo	sanguinea	2	18	7500.00	4798.00	1	6	1
7	D2_B1_T1	Aloricate	ciliate	3	1	5.40E+01	0.37017	1	2	1
8	D4_B1_T1	Aloricate	ciliate	3	1	287.00	6957.00	1	4	1
9	D1_B1_T1	Amphidinoid	unknown	2	3	165.00	36299.00	1	1	1
10	D2_B1_T1	Amphidinoid	unknown	2	1	5.40E+01	0.37017	1	2	1
11	D5_B1_T1	Amphiprora	unknown	1	2	914.00	4374.00	1	5	1
12	D1_B1_T1	Asterionella	unknown	1	34	1870.00	36299.00	1	1	1
13	D2_B1_T1	Asterionella	unknown	1	43	2.32E+03	0.37017	1	2	1
14	D3_B1_T1	Asterionella	unknown	1	30	3620.00	16556.00	1	3	1
15	D4_B1_T1	Asterionella	unknown	1	54	15500.00	6957.00	1	4	1
16	D5_B1_T1	Asterionella	unknown	1	74	191000.00	776.00	1	5	1
17	D6_B1_T1	Asterionella	unknown	1	52	39100.00	2662.00	1	6	1
18	D1_B1_T1	Asteromphalus	unknown	1	6	331.00	36299.00	1	1	1
19	D2_B1_T1	Asteromphalus	unknown	1	22	1.19E+03	0.37017	1	2	1
20	D4_B1_T1	Asteromphalus	unknown	1	11	3160.00	6957.00	1	4	1
21	D6_B1_T1	Asteromphalus	unknown	1	14	5840.00	4798.00	1	6	1
22	D1_B1_T1	Centric	unknown	1	60	4850.00	24739.00	1	1	1
23	D2_B1_T1	Centric	unknown	1	56	4.21E+03	0.26585	1	2	1
24	D3_B1_T1	Centric	unknown	1	51	6160.00	16556.00	1	3	1
25	D4_B1_T1	Centric	unknown	1	79	70400.00	2243.00	1	4	1
26	D5_B1_T1	Centric	unknown	1	60	51900.00	2311.00	1	5	1
27	D6_B1_T1	Centric	unknown	1	62	25800.00	4798.00	1	6	1
28	D1_B1_T1	Cerataulina	pelagicus	1	56	3090.00	36299.00	1	1	1
29	D2_B1_T1	Cerataulina	pelagicus	1	2	1.08E+02	0.37017	1	2	1
30	D3_B1_T1	Cerataulina	pelagicus	1	52	13700.00	7606.00	1	3	1
31	D4_B1_T1	Cerataulina	pelagicus	1	98	28200.00	6957.00	1	4	1
32	D5_B1_T1	Cerataulina	pelagicus	1	59	51100.00	2311.00	1	5	1
33	D6_B1_T1	Cerataulina	pelagicus	1	58	24200.00	4798.00	1	6	1
34	D1_B1_T1	Ceratium	dens	2	2	110.00	36299.00	1	1	1
35	D3_B1_T1	Ceratium	dens	1	3	362.00	16556.00	1	3	1
36	D4_B1_T1	Ceratium	dens	2	1	287.00	6957.00	1	4	1
37	D6_B1_T1	Ceratium	dens	2	2	834.00	4798.00	1	6	1
38	D1_B1_T1	Chaetoceros	compressus	1	63	5090.00	24739.00	1	1	1
39	D1_B1_T1	Chaetoceros	danicus	1	11	606.00	36299.00	1	1	1
40	D1_B1_T1	Chaetoceros	debilis	1	17	937.00	36299.00	1	1	1
41	D1_B1_T1	Chaetoceros	decipiens	1	20	1100.00	36299.00	1	1	1
42	D1_B1_T1	Chaetoceros	decipiens	1	1	551.00	36299.00	1	1	1
43	D1_B1_T1	Chaetoceros	didymus	1	70	3860.00	36299.00	1	1	1
44	D1_B1_T1	Chaetoceros	laciniosus	1	7	386.00	36299.00	1	1	1
45	D1_B1_T1	Chaetoceros	lorenzianus	1	3	165.00	36299.00	1	1	1
46	D1_B1_T1	Chaetoceros	similis	1	4	220.00	36299.00	1	1	1
47	D1_B1_T1	Chaetoceros	socialis	1	12	661.00	36299.00	1	1	1
48	D1_B1_T1	Chaetoceros	unknown	1	26	1430.00	36299.00	1	1	1
49	D2_B1_T1	Chaetoceros	compressus	1	57	3.08E+03	0.37017	1	2	1
50	D2_B1_T1	Chaetoceros	danicus	1	17	9.18E+02	0.37017	1	2	1
51	D2_B1_T1	Chaetoceros	debilis	1	53	3.16E+03	0.33494	1	2	1
52	D2_B1_T1	Chaetoceros	decipiens	1	56	4.84E+03	0.23141	1	2	1
53	D2_B1_T1	Chaetoceros	didymus	1	78	4.45E+03	0.35096	1	2	1
54	D2_B1_T1	Chaetoceros	laciniosus	1	4	2.16E+02	0.37017	1	2	1
55	D2_B1_T1	Chaetoceros	peruvianus	1	5	2.70E+02	0.37017	1	2	1
56	D2_B1_T1	Chaetoceros	socialis	1	23	1.24E+03	0.37017	1	2	1
57	D2_B1_T1	Chaetoceros	unknown	1	23	1.24E+03	0.37017	1	2	1
58	D3_B1_T1	Chaetoceros	compressus	1	49	5920.00	16556.00	1	3	1
59	D3_B1_T1	Chaetoceros	concavicornis	1	10	1210.00	16556.00	1	3	1
60	D3_B1_T1	Chaetoceros	constrictus	1	22	2660.00	16556.00	1	3	1
61	D3_B1_T1	Chaetoceros	danicus	1	9	1090.00	16556.00	1	3	1
62	D3_B1_T1	Chaetoceros	debilis	1	62	16300.00	7606.00	1	3	1
63	D3_B1_T1	Chaetoceros	decipiens	1	52	10200.00	10184.00	1	3	1
64	D3_B1_T1	Chaetoceros	didymus	1	63	9520.00	13229.00	1	3	1
65	D3_B1_T1	Chaetoceros	laciniosus	1	18	2170.00	16556.00	1	3	1
66	D3_B1_T1	Chaetoceros	peruvianus	1	2	242.00	16556.00	1	3	1
67	D3_B1_T1	Chaetoceros	similis	1	18	2170.00	16556.00	1	3	1
68	D3_B1_T1	Chaetoceros	socialis	1	60	22700.00	5293.00	1	3	1
69	D3_B1_T1	Chaetoceros	unknown	1	3	362.00	16556.00	1	3	1
70	D4_B1_T1	Chaetoceros	compressus	1	52	46400.00	2243.00	1	4	1
71	D4_B1_T1	Chaetoceros	constrictus	1	73	21000.00	6957.00	1	4	1
72	D4_B1_T1	Chaetoceros	danicus	1	30	26700.00	2243.00	1	4	1
73	D4_B1_T1	Chaetoceros	debilis	1	57	147000.00	776.00	1	4	1
74	D4_B1_T1	Chaetoceros	decipiens	1	76	67800.00	2243.00	1	4	1
75	D4_B1_T1	Chaetoceros	didymus	1	62	55300.00	2243.00	1	4	1
76	D4_B1_T1	Chaetoceros	laciniosus	1	50	14400.00	6957.00	1	4	1
77	D4_B1_T1	Chaetoceros	lorenzianus	1	74	21300.00	6957.00	1	4	1
78	D4_B1_T1	Chaetoceros	peruvianus	1	1	287.00	6957.00	1	4	1
79	D4_B1_T1	Chaetoceros	similis	1	18	5170.00	6957.00	1	4	1
80	D4_B1_T1	Chaetoceros	socialis	1	80	71300.00	2243.00	1	4	1
81	D4_B1_T1	Chaetoceros	unknown	1	10	2870.00	6957.00	1	4	1
82	D5_B1_T1	Chaetoceros	affinis	1	9	4120.00	4374.00	1	5	1
83	D5_B1_T1	Chaetoceros	compressus	1	94	242000.00	776.00	1	5	1
84	D5_B1_T1	Chaetoceros	concavicornis	1	6	2740.00	4374.00	1	5	1
85	D5_B1_T1	Chaetoceros	constrictus	1	47	21500.00	4374.00	1	5	1
86	D5_B1_T1	Chaetoceros	danicus	1	39	17800.00	4374.00	1	5	1
87	D5_B1_T1	Chaetoceros	debilis	1	138	63100.00	4374.00	1	5	1
88	D5_B1_T1	Chaetoceros	decipiens	1	53	137000.00	776.00	1	5	1
89	D5_B1_T1	Chaetoceros	didymus	1	63	162000.00	776.00	1	5	1
90	D5_B1_T1	Chaetoceros	lorenzianus	1	4	1830.00	4374.00	1	5	1
91	D5_B1_T1	Chaetoceros	peruvianus	1	7	3200.00	4374.00	1	5	1
92	D5_B1_T1	Chaetoceros	similis	1	5	2290.00	4374.00	1	5	1
93	D5_B1_T1	Chaetoceros	socialis	1	58	26500.00	4374.00	1	5	1
94	D5_B1_T1	Chaetoceros	unknown	1	21	9600.00	4374.00	1	5	1
95	D6_B1_T1	Chaetoceros	danicus	1	10	4170.00	4798.00	1	6	1
96	D6_B1_T1	Chaetoceros	debilis	2	152	301000.00	1011.00	1	6	1
97	D6_B1_T1	Chaetoceros	decipiens	1	62	123000.00	1011.00	1	6	1
98	D6_B1_T1	Chaetoceros	didymus	1	69	51800.00	2662.00	1	6	1
99	D6_B1_T1	Chaetoceros	peruvianus	1	9	3750.00	4798.00	1	6	1
100	D1_B1_T1	Cochlodinium	unknown	2	1	551.00	36299.00	1	1	1
101	D2_B1_T1	Coscinodiscus	unknown	1	1	5.40E+01	0.37017	1	2	1
102	D4_B1_T1	Coscinodiscus	unknown	1	6	1720.00	6957.00	1	4	1
103	D5_B1_T1	Coscinodiscus	unknown	1	8	1030.00	15466.00	1	5	1
104	D6_B1_T1	Coscinodiscus	unknown	1	7	2920.00	4798.00	1	6	1
105	D1_B1_T1	Criophilum	hystix	1	1	551.00	36299.00	1	1	1
106	D2_B1_T1	Criophilum	hystix	1	2	1.08E+02	0.37017	1	2	1
107	D3_B1_T1	Criophilum	hystix	1	2	242.00	16556.00	1	3	1
108	D2_B1_T1	Cyclotella	unknown	1	2	1.08E+02	0.37017	1	2	1
109	D3_B1_T1	Cyclotella	unknown	1	6	725.00	16556.00	1	3	1
110	D4_B1_T1	Cyclotella	unknown	1	8	320.00	49951.00	1	4	1
111	D5_B1_T1	Cyclotella	unknown	1	4	1830.00	4374.00	1	5	1
112	D1_B1_T1	Dactyliosolen	fragilissima	1	3	165.00	36299.00	1	1	1
113	D1_B1_T1	Dactyliosolen	unknown	1	65	3580.00	36299.00	1	1	1
114	D1_B1_T1	Dactyliosolen	unknown	1	2	110.00	36299.00	1	1	1
115	D2_B1_T1	Dactyliosolen	fragilissima	1	15	8.10E+02	0.37017	1	2	1
116	D2_B1_T1	Dactyliosolen	unknown	1	66	1.55E+04	0.08509	1	2	1
117	D3_B1_T1	Dactyliosolen	fragilissima	1	2	242.00	16556.00	1	3	1
118	D3_B1_T1	Dactyliosolen	unknown	1	48	7260.00	13229.00	1	3	1
119	D4_B1_T1	Dactyliosolen	fragilissima	1	9	360.00	49951.00	1	4	1
120	D4_B1_T1	Dactyliosolen	unknown	1	14	4020.00	6957.00	1	4	1
121	D5_B1_T1	Dactyliosolen	fragilissima	1	56	48500.00	2311.00	1	5	1
122	D5_B1_T1	Dactyliosolen	unknown	1	82	22400.00	7312.00	1	5	1
123	D6_B1_T1	Dactyliosolen	fragilissima	1	57	23800.00	4798.00	1	6	1
124	D6_B1_T1	Dactyliosolen	unknown	1	23	9590.00	4798.00	1	6	1
125	D1_B1_T1	Dictyocha	octagana	6	5	275.00	36299.00	1	1	1
126	D1_B1_T1	Dictyocha	speculum	6	1	551.00	36299.00	1	1	1
127	D2_B1_T1	Dictyocha	octagana	6	1	5.40E+01	0.37017	1	2	1
128	D2_B1_T1	Dictyocha	speculum	6	1	5.40E+01	0.37017	1	2	1
129	D4_B1_T1	Dictyocha	octagana	6	6	1720.00	6957.00	1	4	1
130	D5_B1_T1	Dictyocha	octagana	6	2	686.00	5832.00	1	5	1
131	D6_B1_T1	Dictyocha	octagana	6	1	417.00	4798.00	1	6	1
132	D2_B1_T1	Ditylum	brightwelli	1	4	2.16E+02	0.37017	1	2	1
133	D3_B1_T1	Ditylum	brightwelli	1	6	725.00	16556.00	1	3	1
134	D4_B1_T1	Ditylum	brightwelli	1	5	1440.00	6957.00	1	4	1
135	D5_B1_T1	Ditylum	brightwelli	1	4	1830.00	4374.00	1	5	1
136	D6_B1_T1	Ditylum	brightwelli	1	8	3330.00	4798.00	1	6	1
137	D1_B1_T1	Eucampia	zodiacus	1	23	1270.00	36299.00	1	1	1
138	D2_B1_T1	Eucampia	zodiacus	1	59	3.19E+03	0.37017	1	2	1
139	D3_B1_T1	Eucampia	zodiacus	1	53	10400.00	10184.00	1	3	1
140	D4_B1_T1	Eucampia	zodiacus	1	84	24100.00	6957.00	1	4	1
141	D5_B1_T1	Eucampia	zodiacus	1	77	199000.00	776.00	1	5	1
142	D6_B1_T1	Eucampia	zodiacus	1	63	47300.00	2662.00	1	6	1
143	D1_B1_T1	Euglena	unknown	6	11	606.00	36299.00	1	1	1
144	D1_B1_T1	Euglena	unknown	6	1	551.00	36299.00	1	1	1
145	D3_B1_T1	Euglena	unknown	6	3	362.00	16556.00	1	3	1
146	D2_B1_T1	Euglena	unknown	6	4	2.16E+02	0.37017	1	2	1
147	D1_B1_T1	Fragilaria	unknown	1	8	441.00	36299.00	1	1	1
148	D2_B1_T1	Fragilaria	unknown	2	18	9.73E+02	0.37017	1	2	1
149	D3_B1_T1	Fragilaria	unknown	1	4	483.00	16556.00	1	3	1
150	D4_B1_T1	Fragilaria	unknown	1	9	2590.00	6957.00	1	4	1
151	D5_B1_T1	Fragilaria	unknown	1	17	7770.00	4374.00	1	5	1
152	D6_B1_T1	Fragilaria	unknown	1	21	8750.00	4798.00	1	6	1
153	D1_B1_T1	Guinardia	striata	1	17	937.00	36299.00	1	1	1
154	D2_B1_T1	Guinardia	striata	1	18	9.73E+02	0.37017	1	2	1
155	D3_B1_T1	Guinardia	striata	1	20	2420.00	16556.00	1	3	1
156	D4_B1_T1	Guinardia	striata	1	25	7190.00	6957.00	1	4	1
157	D5_B1_T1	Guinardia	striata	1	25	11400.00	4374.00	1	5	1
158	D6_B1_T1	Guinardia	striata	1	17	7090.00	4798.00	1	6	1
159	D1_B1_T1	Gymnodinium	greater50micrometer	2	12	661.00	36299.00	1	1	1
160	D2_B1_T1	Gymnodinium	greater50micrometer	2	1	5.40E+01	0.37017	1	2	1
161	D4_B1_T1	Gymnodinium	greater50micrometer	2	5	1440.00	6957.00	1	4	1
162	D1_B1_T1	Hemiaulus	sinensis	1	2	110.00	36299.00	1	1	1
163	D2_B1_T1	Hemiaulus	sinensis	1	1	5.40E+01	0.37017	1	2	1
164	D4_B1_T1	Hemiaulus	sinensis	1	2	575.00	6957.00	1	4	1
165	D5_B1_T1	Hemiaulus	sinensis	1	13	5940.00	4374.00	1	5	1
166	D6_B1_T1	Hemiaulus	sinensis	1	16	22200.00	1439.00	1	6	1
167	D3_B1_T1	Hemiaulus	sinensis	1	5	604.00	16556.00	1	3	1
168	D2_B1_T1	Katodinoid	unknown	2	2	1.08E+02	0.37017	1	2	1
169	D1_B1_T1	Lioloma	unknown	1	2	110.00	36299.00	1	1	1
170	D2_B1_T1	Lioloma	unknown	1	7	3.78E+02	0.37017	1	2	1
171	D3_B1_T1	Lioloma	unknown	1	12	1450.00	16556.00	1	3	1
172	D4_B1_T1	Lioloma	unknown	1	6	1720.00	6957.00	1	4	1
173	D6_B1_T1	Lioloma	unknown	1	17	7090.00	4798.00	1	6	1
174	D1_B1_T1	Meringosphaera	unknown	6	4	220.00	36299.00	1	1	1
175	D2_B1_T1	Meringosphaera	unknown	6	2	1.08E+02	0.37017	1	2	1
176	D2_B1_T1	Nasselarian	unknown	5	1	5.40E+01	0.37017	1	2	1
177	D6_B1_T1	Nasselarian	unknown	5	1	417.00	4798.00	1	6	1
178	D1_B1_T1	Naviculoid	unknown	1	3	165.00	36299.00	1	1	1
179	D2_B1_T1	Naviculoid	unknown	1	16	8.64E+02	0.37017	1	2	1
180	D3_B1_T1	Naviculoid	unknown	1	6	725.00	16556.00	1	3	1
181	D4_B1_T1	Naviculoid	unknown	1	19	1600.00	2376.00	1	4	1
182	D5_B1_T1	Naviculoid	unknown	1	5	2290.00	4374.00	1	5	1
183	D6_B1_T1	Naviculoid	unknown	1	8	3330.00	4798.00	1	6	1
184	D1_B1_T1	Nitzschia	longissima	1	30	1650.00	36299.00	1	1	1
185	D3_B1_T1	Nitzschia	longissima	1	70	17600.00	797.00	1	3	1
186	D4_B1_T1	Nitzschia	longissima	1	51	131000.00	776.00	1	4	1
187	D5_B1_T1	Nitzschia	longissima	1	62	160000.00	776.00	1	5	1
188	D6_B1_T1	Nitzschia	longissima	1	62	123000.00	1011.00	1	6	1
189	D2_B1_T1	Nitzschia	longissima	1	51	1.20E+04	0.08509	1	2	1
190	D1_B1_T1	Nitzschia	unknown	1	52	5640.00	18455.00	1	1	1
191	D2_B1_T1	Nitzschia	unknown	1	24	1.30E+03	0.37017	1	2	1
192	D3_B1_T1	Nitzschia	unknown	1	21	2540.00	16556.00	1	3	1
193	D4_B1_T1	Nitzschia	unknown	1	2	575.00	6957.00	1	4	1
194	D6_B1_T1	Nitzschia	unknown	1	18	7500.00	4798.00	1	6	1
195	D5_B1_T1	Odontella	mobiliensis	1	2	914.00	4374.00	1	5	1
196	D4_B1_T1	Oxytoxum	unknown	2	2	575.00	6957.00	1	4	1
197	D5_B1_T1	Oxytoxum	unknown	2	1	457.00	4374.00	1	5	1
198	D1_B1_T1	Parapedinella	unknown	6	5	275.00	36299.00	1	1	1
199	D1_B1_T1	Pennate	unknown	1	63	8110.00	15537.00	1	1	1
200	D2_B1_T1	Pennate	unknown	1	8	4.32E+02	0.37017	1	2	1
201	D3_B1_T1	Pennate	unknown	1	2	242.00	16556.00	1	3	1
202	D4_B1_T1	Pennate	unknown	1	6	1720.00	6957.00	1	4	1
203	D5_B1_T1	Pennate	unknown	1	4	1830.00	4374.00	1	5	1
204	D6_B1_T1	Pennate	unknown	1	4	1670.00	4798.00	1	6	1
205	D1_B1_T1	Plagiotropis	unknown	1	3	165.00	36299.00	1	1	1
206	D2_B1_T1	Plagiotropis	unknown	1	1	5.40E+01	0.37017	1	2	1
207	D4_B1_T1	Plagiotropis	unknown	1	2	575.00	6957.00	1	4	1
208	D6_B1_T1	Plagiotropis	unknown	1	2	834.00	4798.00	1	6	1
209	D1_B1_T1	Proboscia	alata	1	2	110.00	36299.00	1	1	1
210	D1_B1_T1	Proboscia	alata	1	2	110.00	36299.00	1	1	1
211	D1_B1_T1	Prorocentrum	micans	2	1	551.00	36299.00	1	1	1
212	D1_B1_T1	Prorocentrum	balticum	2	1	551.00	36299.00	1	1	1
213	D1_B1_T1	Prorocentrum	lima	2	1	551.00	36299.00	1	1	1
214	D2_B1_T1	Prorocentrum	gracile	2	3	1.62E+02	0.37017	1	2	1
215	D2_B1_T1	Prorocentrum	lima	2	1	5.40E+01	0.37017	1	2	1
216	D4_B1_T1	Prorocentrum	gracile	2	11	3160.00	6957.00	1	4	1
217	D6_B1_T1	Prorocentrum	gracile	2	15	6250.00	4798.00	1	6	1
218	D2_B1_T1	Protoperidinium	unknown	1	3	1.62E+02	0.37017	1	2	1
219	D4_B1_T1	Protoperidinium	unknown	2	1	287.00	6957.00	1	4	1
220	D1_B1_T1	Pseudo-nitzschia	unknown	1	218	29400.00	14829.00	1	1	1
221	D2_B1_T1	Pseudo-nitzschia	unknown	1	304	7.14E+04	0.08509	1	2	1
222	D3_B1_T1	Pseudo-nitzschia	unknown	1	210	41200.00	10184.00	1	3	1
223	D4_B1_T1	Pseudo-nitzschia	unknown	1	278	717000.00	776.00	1	4	1
224	D5_B1_T1	Pseudo-nitzschia	unknown	1	406	1050000.00	776.00	1	5	1
225	D6_B1_T1	Pseudo-nitzschia	unknown	1	370	732000.00	1011.00	1	6	1
226	D2_B1_T1	Rhizosolenia	hepatata	1	3	1.62E+02	0.37017	1	2	1
227	D3_B1_T1	Rhizosolenia	hepatata	1	1	121.00	16556.00	1	3	1
228	D2_B1_T1	Sigmoid	diatom	2	1	5.40E+01	0.37017	1	2	1
229	D1_B1_T1	Skeletonema	unknown	1	4	220.00	36299.00	1	1	1
230	D4_B1_T1	Skeletonema	unknown	1	18	5170.00	6957.00	1	4	1
231	D5_B1_T1	Skeletonema	unknown	1	12	5490.00	4374.00	1	5	1
232	D6_B1_T1	Skeletonema	unknown	1	47	19600.00	4798.00	1	6	1
233	D1_B1_T1	Strombidium	unknown	3	4	220.00	36299.00	1	1	1
234	D3_B1_T1	Strombidium	unknown	3	3	362.00	16556.00	1	3	1
235	D4_B1_T1	Strombidium	unknown	2	4	1150.00	6957.00	1	4	1
236	D5_B1_T1	Strombidium	unknown	3	4	5560.00	1439.00	1	5	1
237	D6_B1_T1	Strombidium	unknown	3	3	1250.00	4798.00	1	6	1
238	D2_B1_T1	Strombidium	unknown	3	7	3.78E+02	0.37017	1	2	1
239	D1_B1_T1	Thalassionema	unknown	1	18	992.00	36299.00	1	1	1
240	D1_B1_T1	Thalassionema	unknown	1	17	937.00	36299.00	1	1	1
241	D2_B1_T1	Thalassionema	unknown	1	42	2.27E+03	0.37017	1	2	1
242	D3_B1_T1	Thalassionema	unknown	1	64	7730.00	16556.00	1	3	1
243	D4_B1_T1	Thalassionema	unknown	1	53	47300.00	2243.00	1	4	1
244	D5_B1_T1	Thalassionema	unknown	1	104	7150.00	29102.00	1	5	1
245	D6_B1_T1	Thalassionema	unknown	2	59	117000.00	1011.00	1	6	1
246	D1_B1_T1	Thalassiosira	unknown	1	48	2640.00	36299.00	1	1	1
247	D2_B1_T1	Thalassiosira	unknown	1	55	4.14E+03	0.26585	1	2	1
248	D3_B1_T1	Thalassiosira	unknown	1	30	3620.00	16556.00	1	3	1
249	D4_B1_T1	Thalassiosira	rotula	1	9	2590.00	6957.00	1	4	1
250	D4_B1_T1	Thalassiosira	unknown	1	78	201000.00	776.00	1	4	1
251	D5_B1_T1	Thalassiosira	anguste-lineata	1	10	4570.00	4374.00	1	5	1
252	D5_B1_T1	Thalassiosira	rotula	1	55	25100.00	4374.00	1	5	1
253	D5_B1_T1	Thalassiosira	unknown	1	118	54000.00	4374.00	1	5	1
254	D6_B1_T1	Thalassiosira	rotula	1	26	10800.00	4798.00	1	6	1
255	D6_B1_T1	Thalassiosira	unknown	1	135	267000.00	1011.00	1	6	1
256	D3_B1_T1	Thecate	dino	2	1	121.00	16556.00	1	3	1
257	D5_B1_T1	Thecate	dino	2	3	1370.00	4374.00	1	5	1
258	D5_B1_T1	Tintinnid	unknown	3	1	457.00	4374.00	1	5	1
259	D6_B1_T1	Tintinnid	unknown	3	1	417.00	4798.00	1	6	1
260	D1_B1_T1	Tropidoneis	unknown	1	3	165.00	36299.00	1	1	1
261	D2_B1_T1	Tropidoneis	unknown	1	10	5.40E+02	0.37017	1	2	1
262	D3_B1_T1	Tropidoneis	unknown	1	6	725.00	16556.00	1	3	1
263	D4_B1_T1	Tropidoneis	unknown	1	5	1440.00	6957.00	1	4	1
264	D5_B1_T1	Tropidoneis	unknown	1	1	457.00	4374.00	1	5	1
265	D6_B1_T1	Tropidoneis	unknown	1	7	2920.00	4798.00	1	6	1
266	D1_B2_T1	Akashiwo	sanguinea	2	60	6590.00	18204.00	2	1	1
267	D2_B2_T1	Akashiwo	sanguinea	2	56	16000.00	6989.00	2	2	1
268	D3_B2_T1	Akashiwo	sanguinea	2	52	24100.00	4318.00	2	3	1
269	D4_B2_T1	Akashiwo	sanguinea	2	46	8240.00	11162.00	2	4	1
270	D5_B2_T1	Akashiwo	sanguinea	2	39	18400.00	4235.00	2	5	1
271	D6_B2_T1	Akashiwo	sanguinea	2	35	15100.00	4627.00	2	6	1
272	D1_B2_T1	Aloricate	ciliate	3	6	473.00	25366.00	2	1	1
273	D2_B2_T1	Aloricate	ciliate	3	2	572.00	6989.00	2	2	1
274	D3_B2_T1	Aloricate	ciliate	3	2	565.00	7085.00	2	3	1
275	D4_B2_T1	Aloricate	ciliate	3	2	800.00	5.00	2	4	1
276	D5_B2_T1	Aloricate	ciliate	3	3	1420.00	4235.00	2	5	1
277	D6_B2_T1	Aloricate	ciliate	3	22	9510.00	4627.00	2	6	1
278	D1_B2_T1	Amphidinoid	unknown	2	4	315.00	25366.00	2	1	1
279	D5_B2_T1	Amphiprora	unknown	1	1	472.00	4235.00	2	5	1
280	D1_B2_T1	Asterionella	unknown	1	22	1730.00	25366.00	2	1	1
281	D2_B2_T1	Asterionella	unknown	1	8	2290.00	6989.00	2	2	1
282	D5_B2_T1	Asterionella	unknown	1	66	56600.00	2334.00	2	5	1
283	D6_B2_T1	Asterionella	unknown	1	53	22900.00	4627.00	2	6	1
284	D1_B2_T1	Asteromphalus	unknown	1	26	2050.00	25366.00	2	1	1
285	D2_B2_T1	Asteromphalus	unknown	1	17	4860.00	6989.00	2	2	1
286	D3_B2_T1	Asteromphalus	unknown	1	1	282.00	7085.00	2	3	1
287	D4_B2_T1	Asteromphalus	unknown	1	7	337.00	41505.00	2	4	1
288	D6_B2_T1	Asteromphalus	unknown	1	8	3460.00	4627.00	2	6	1
289	D1_B2_T1	Centric	unknown	1	61	13200.00	9266.00	2	1	1
290	D2_B2_T1	Centric	unknown	1	80	22900.00	6989.00	2	2	1
291	D3_B2_T1	Centric	unknown	1	56	25900.00	4318.00	2	3	1
292	D4_B2_T1	Centric	unknown	1	89	72700.00	245.00	2	4	1
293	D5_B2_T1	Centric	unknown	1	56	48000.00	2334.00	2	5	1
294	D6_B2_T1	Centric	unknown	1	32	13800.00	4627.00	2	6	1
295	D2_B2_T1	Cerataulina	pelagicus	1	25	7150.00	6989.00	2	2	1
296	D3_B2_T1	Cerataulina	pelagicus	1	53	45900.00	2311.00	2	3	1
297	D4_B2_T1	Cerataulina	pelagicus	1	81	66100.00	245.00	2	4	1
298	D5_B2_T1	Cerataulina	pelagicus	1	59	50600.00	2334.00	2	5	1
299	D6_B2_T1	Cerataulina	pelagicus	1	112	48400.00	4627.00	2	6	1
300	D1_B2_T1	Ceratium	dens	2	2	158.00	25366.00	2	1	1
301	D1_B2_T1	Ceratium	furca	2	1	788.00	25366.00	2	1	1
302	D2_B2_T1	Ceratium	dens	2	3	858.00	6989.00	2	2	1
303	D3_B2_T1	Ceratium	dens	2	2	565.00	7085.00	2	3	1
304	D5_B2_T1	Ceratium	dens	2	2	944.00	4235.00	2	5	1
305	D6_B2_T1	Ceratium	dens	2	1	432.00	4627.00	2	6	1
306	D1_B2_T1	Chaetoceros	compressus	1	70	34600.00	4044.00	2	1	1
307	D1_B2_T1	Chaetoceros	danicus	1	48	3780.00	25366.00	2	1	1
308	D1_B2_T1	Chaetoceros	debilis	1	75	35400.00	4237.00	2	1	1
309	D1_B2_T1	Chaetoceros	decipiens	1	52	11200.00	9266.00	2	1	1
310	D1_B2_T1	Chaetoceros	didymus	1	67	21500.00	6232.00	2	1	1
311	D1_B2_T1	Chaetoceros	laciniosus	1	17	1340.00	25366.00	2	1	1
312	D1_B2_T1	Chaetoceros	pelagicus	1	59	6190.00	19075.00	2	1	1
313	D1_B2_T1	Chaetoceros	peruvianus	1	26	2050.00	25366.00	2	1	1
314	D1_B2_T1	Chaetoceros	similis	1	44	3470.00	25366.00	2	1	1
315	D1_B2_T1	Chaetoceros	socialis	1	43	3390.00	25366.00	2	1	1
316	D1_B2_T1	Chaetoceros	unknown	1	27	2130.00	25366.00	2	1	1
317	D1_B2_T1	Chaetoceros	unknown	1	8	631.00	25366.00	2	1	1
318	D2_B2_T1	Chaetoceros	compressus	1	64	18300.00	6989.00	2	2	1
319	D2_B2_T1	Chaetoceros	constrictus	1	29	8300.00	6989.00	2	2	1
320	D2_B2_T1	Chaetoceros	debilis	1	94	26900.00	6989.00	2	2	1
321	D2_B2_T1	Chaetoceros	decipiens	1	63	18000.00	6989.00	2	2	1
322	D2_B2_T1	Chaetoceros	didymus	1	66	61900.00	2131.00	2	2	1
323	D2_B2_T1	Chaetoceros	laciniosus	1	9	2580.00	6989.00	2	2	1
324	D2_B2_T1	Chaetoceros	peruvianus	1	15	4290.00	6989.00	2	2	1
325	D2_B2_T1	Chaetoceros	similis	1	40	11400.00	6989.00	2	2	1
326	D2_B2_T1	Chaetoceros	socialis	1	21	6010.00	6989.00	2	2	1
327	D2_B2_T1	Chaetoceros	unknown	1	38	10900.00	6989.00	2	2	1
